districtpc,district,local_auth,districtyp,provincepc
1208,Mbire,Mbire RDC,Rural District,12
1504,Lupane,Kusile RDC,Rural District,15
1507,Umguza,Umguza RDC,Rural District,15
1601,Beitbridge,Beitbridge RDC,Rural District,16
1806,Mwenezi,Mwenezi RDC,Rural District,18
1503,Hwange,Hwange RDC,Rural District,15
1702,Gokwe North,Gokwe North RDC,Rural District,17
1501,Binga,Binga RDC,Rural District,15
1203,Guruve,Guruve RDC,Rural District,12
1405,Makonde,Makonde RDC,Rural District,14
1803,Chivi,Chivi RDC,Rural District,18
1805,Masvingo,Masvingo RDC,Rural District,18
1605,Insiza,Insiza RDC,Rural District,16
1706,Mberengwa,Mberengwa RDC,Rural District,17
1021,Bulawayo,Bulawayo City Council,Urban District,10
1606,Matobo,Matobo RDC,Rural District,16
1607,Umzingwane,Umzingwane RDC,Rural District,16
1603,Mangwe,Mangwe RDC,Rural District,16
1708,Zvishavane,Runde RDC,Rural District,17
1506,Tsholotsho,Tsholotsho RDC,Rural District,15
1604,Gwanda,Gwanda RDC,Rural District,16
1801,Bikita,Bikita RDC,Rural District,18
1807,Zaka,Zaka RDC,Rural District,18
1707,Shurugwi,Tongogara RDC,Rural District,17
1704,Gweru,Vungu RDC,Rural District,17
1723,Redcliff,Redcliff Municipality,Urban District,17
1701,Chirumhanzu,Takawira RDC,Rural District,17
1703,Gokwe South,Gokwe South RDC,Rural District,17
1705,Kwekwe,Zibagwe RDC,Rural District,17
1502,Bubi,Bubi RDC,Rural District,15
1721,Gweru Urban,Gweru City Council,Urban District,17
1505,Nkayi,Nkayi RDC,Rural District,15
1427,Mhondoro-Ngezi,Mhondoro-Ngezi RDC,Rural District,14
1802,Chiredzi,Chiredzi RDC,Rural District,18
1104,Makoni,Makoni RDC,Rural District,11
1101,Buhera,Buhera RDC,Rural District,11
1804,Gutu,Gutu RDC,Rural District,18
1306,Murehwa,Murehwa RDC,Rural District,13
1821,Masvingo Urban,Masvingo Municipality,Urban District,18
1308,Seke,Manyame RDC,Rural District,13
1401,Chegutu,Chegutu RDC,Rural District,14
1105,Mutare,Mutare RDC,Rural District,11
1102,Chimanimani,Chimanimani RDC,Rural District,11
1303,Hwedza,Hwedza RDC,Rural District,13
1106,Mutasa,Mutasa RDC,Rural District,11
1107,Nyanga,Nyanga RDC,Rural District,11
1426,Karoi,Karoi Town Council,Urban District,14
1402,Hurungwe,Hurungwe RDC,Rural District,14
1406,Zvimba,Zvimba RDC,Rural District,14
1428,Sanyati,Sanyati RDC,Rural District,14
1206,Rushinga,Rushinga RDC,Rural District,12
1307,Mutoko,Mutoko RDC,Rural District,13
1202,Centenary,Muzarabani RDC,Rural District,12
1302,Goromonzi,Goromonzi RDC,Rural District,13
1204,Mazowe,Mazowe RDC,Rural District,12
1201,Bindura,Bindura RDC,Rural District,12
1205,Mount Darwin,Pfura RDC,Rural District,12
1207,Shamva,Chaminuka RDC,Rural District,12
1602,Bulilima,Bulilima RDC,Rural District,16
1622,Beitbridge Urban,Beitbridge Town Council,Urban District,16
1623,Plumtree,Plumtree Town Council,Urban District,16
1822,Chiredzi Urban,Chiredzi Town Council,Urban District,18
1621,Gwanda Urban,Gwanda Municipality,Urban District,16
1403,Kadoma Urban,Kadoma City Council,Urban District,14
1103,Chipinge,Chipinge RDC,Rural District,11
1404,Kariba,Nyaminyami RDC,Rural District,14
1301,Chikomba,Chikomba RDC,Rural District,13
1722,Kwekwe Urban,Kwekwe City Council,Urban District,17
1728,Shurugwi Town,Shurugwi Town Council,Urban District,17
1725,Zvishavane Urban,Zvishavane Town Council,Urban District,17
1522,Victoria Falls,Victoria Falls Municipality,Urban District,15
1822,Chipinge Urban,Chipinge Town Council,Urban District,18
1121,Mutare Urban,Mutare City Council,Urban District,11
1521,Hwange Urban,Hwange Local Board,Urban District,15
1304,Marondera,Marondera RDC,Rural District,13
1729,Gokwe South Urban,Gokwe Town Council,Urban District,17
1122,Rusape,Rusape Town Council,Urban District,11
1425,Norton,Norton Town Council,Urban District,14
1423,Chegutu Urban,Chegutu Municipality,Urban District,14
1321,Marondera Urban,Marondera Municipality,Urban District,13
1921,Harare,Harare City Council,Urban District,19
1922,Chitungwiza,Chitungwiza Municipality,Urban District,19
1326,Ruwa,Ruwa Local Board,Urban District,13
1923,Epworth,Epworth Local Board,Urban District,19
1421,Chinhoyi,Chinhoyi Municipality,Urban District,14
1309,Uzumba Maramba Pfungwe,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,13
1305,Mudzi,Mudzi RDC,Rural District,13
1221,Bindura Urban,Bindura Municipality,Urban District,12
1424,Kariba Urban,Kariba Municipality,Urban District,14
