wardpc,wardname,province,district,alt_name,districtpc,provincepc,integrity
150318,18,Matabeleland North,Hwange,,1503,15,Old ward
170117,17,Midlands,Chirumhanzu,,1701,17,Old ward
110433,33,Manicaland,Makoni,,1104,11,Old ward
120812,12,Mashonaland Central,Mbire,,1208,12,New ward
150428,28,Matabeleland North,Lupane,,1504,15,New ward
150718,18,Matabeleland North,Umguza,,1507,15,Old ward
102103,3,Bulawayo,Bulawayo,,1021,10,Old ward
102101,1,Bulawayo,Bulawayo,,1021,10,Old ward
180317,17,Masvingo,Chivi,,1803,18,Old ward
180314,14,Masvingo,Chivi,,1803,18,Old ward
160113,13,Matabeleland South,Beitbridge,,1601,16,Old ward
180616,16,Masvingo,Mwenezi,,1806,18,Old ward
170818,18,Midlands,Zvishavane,,1708,17,Old ward
150301,1,Matabeleland North,Hwange,,1503,15,Old ward
180126,26,Masvingo,Bikita,,1801,18,Old ward
180125,25,Masvingo,Bikita,,1801,18,Old ward
170202,2,Midlands,Gokwe North,,1702,17,Old ward
150104,4,Matabeleland North,Binga,,1501,15,Old ward
150409,9,Matabeleland North,Lupane,,1504,15,Old ward
150405,5,Matabeleland North,Lupane,,1504,15,Old ward
102105,5,Bulawayo,Bulawayo,,1021,10,Old ward
120324,24,Mashonaland Central,Guruve,,1203,12,New ward
140502,2,Mashonaland West,Makonde,,1405,14,Old ward
120316,16,Mashonaland Central,Guruve,,1203,12,Old ward
160520,20,Matabeleland South,Insiza,,1605,16,New ward
160519,19,Matabeleland South,Insiza,,1605,16,New ward
150102,2,Matabeleland North,Binga,,1501,15,Old ward
160604,4,Matabeleland South,Matobo,,1606,16,Old ward
160602,2,Matabeleland South,Matobo,,1606,16,Old ward
102104,4,Bulawayo,Bulawayo,,1021,10,Old ward
170816,16,Midlands,Zvishavane,,1708,17,Old ward
110321,21,Manicaland,Chipinge,,1103,11,Old ward
110320,20,Manicaland,Chipinge,,1103,11,Old ward
110323,23,Manicaland,Chipinge,,1103,11,Old ward
180519,19,Masvingo,Masvingo,,1805,18,Old ward
180512,12,Masvingo,Masvingo,,1805,18,Old ward
180331,31,Masvingo,Chivi,,1803,18,New ward
180522,22,Masvingo,Masvingo,,1805,18,Old ward
160415,15,Matabeleland South,Gwanda,,1604,16,Old ward
160423,23,Matabeleland South,Gwanda,,1604,16,Old ward
180315,15,Masvingo,Chivi,,1803,18,Old ward
180318,18,Masvingo,Chivi,,1803,18,Old ward
150319,19,Matabeleland North,Hwange,,1503,15,New ward
150317,17,Matabeleland North,Hwange,,1503,15,Old ward
150121,21,Matabeleland North,Binga,,1501,15,Old ward
150311,11,Matabeleland North,Hwange,,1503,15,Old ward
170636,36,Midlands,Mberengwa,,1706,17,New ward
170602,2,Midlands,Mberengwa,,1706,17,Old ward
160625,25,Matabeleland South,Matobo,,1606,16,Old ward
160615,15,Matabeleland South,Matobo,,1606,16,Old ward
160709,9,Matabeleland South,Umzingwane,,1607,16,Old ward
160623,23,Matabeleland South,Matobo,,1606,16,Old ward
160622,22,Matabeleland South,Matobo,,1606,16,Old ward
160317,17,Matabeleland South,Mangwe,,1603,16,New ward
170819,19,Midlands,Zvishavane,,1708,17,New ward
170815,15,Midlands,Zvishavane,,1708,17,Old ward
160605,5,Matabeleland South,Matobo,,1606,16,Old ward
170817,17,Midlands,Zvishavane,,1708,17,Old ward
150608,8,Matabeleland North,Tsholotsho,,1506,15,Old ward
150601,1,Matabeleland North,Tsholotsho,,1506,15,Old ward
150607,7,Matabeleland North,Tsholotsho,,1506,15,Old ward
160222,22,Matabeleland South,Bulilima,,1602,16,New ward
160208,8,Matabeleland South,Bulilima,,1602,16,Old ward
150424,24,Matabeleland North,Lupane,,1504,15,Old ward
150408,8,Matabeleland North,Lupane,,1504,15,Old ward
150413,13,Matabeleland North,Lupane,,1504,15,Old ward
150401,1,Matabeleland North,Lupane,,1504,15,Old ward
160720,20,Matabeleland South,Umzingwane,,1607,16,New ward
160515,15,Matabeleland South,Insiza,,1605,16,Old ward
160706,6,Matabeleland South,Umzingwane,,1607,16,Old ward
150610,10,Matabeleland North,Tsholotsho,,1506,15,Old ward
150119,19,Matabeleland North,Binga,,1501,15,Old ward
150316,16,Matabeleland North,Hwange,,1503,15,Old ward
160110,10,Matabeleland South,Beitbridge,,1601,16,Old ward
160112,12,Matabeleland South,Beitbridge,,1601,16,Old ward
160114,14,Matabeleland South,Beitbridge,,1601,16,Old ward
110317,17,Manicaland,Chipinge,,1103,11,Old ward
110316,16,Manicaland,Chipinge,,1103,11,Old ward
180325,25,Masvingo,Chivi,,1803,18,Old ward
150609,9,Matabeleland North,Tsholotsho,,1506,15,Old ward
150603,3,Matabeleland North,Tsholotsho,,1506,15,Old ward
170814,14,Midlands,Zvishavane,,1708,17,Old ward
170634,34,Midlands,Mberengwa,,1706,17,New ward
170630,30,Midlands,Mberengwa,,1706,17,Old ward
170631,31,Midlands,Mberengwa,,1706,17,Old ward
160414,14,Matabeleland South,Gwanda,,1604,16,Old ward
160708,8,Matabeleland South,Umzingwane,,1607,16,Old ward
